Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-01-23,0.0,1.0,,,0.0,0.0,0.0,0.0
2020-01-24,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-28,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,24.0,0.0,6.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,40.0,0.0,7.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,47.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,50.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,58.0,0.0,8.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,67.0,0.0,9.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,72.0,0.0,5.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,75.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,77.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,81.0,0.0,4.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,84.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,89.0,0.0,4.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,91.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,93.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,102.0,0.0,9.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,106.0,0.0,4.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,108.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,110.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,117.0,0.0,7.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,130.0,0.0,13.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,138.0,0.0,8.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,150.0,0.0,12.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,160.0,0.0,10.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,178.0,0.0,18.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,212.0,0.0,12.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,226.0,0.0,14.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,243.0,0.0,17.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,266.0,0.0,23.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,313.0,0.0,47.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,345.0,0.0,32.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,385.0,0.0,40.0,0.0,0.0,0.0,0.0
2020-03-21,2.0,432.0,2.0,47.0,0.0,0.0,0.0,0.0
2020-03-22,2.0,455.0,0.0,23.0,0.0,0.0,0.0,0.0
2020-03-23,2.0,509.0,0.0,54.0,0.0,0.0,0.0,0.0
2020-03-24,2.0,558.0,0.0,49.0,0.0,0.0,0.0,0.0
2020-03-25,2.0,631.0,0.0,73.0,0.0,0.0,0.0,0.0
2020-03-26,2.0,683.0,0.0,52.0,0.0,0.0,0.0,0.0
2020-03-27,2.0,732.0,0.0,49.0,0.0,0.0,0.0,0.0
2020-03-28,2.0,802.0,0.0,70.0,0.0,0.0,0.0,0.0
2020-03-29,3.0,844.0,1.0,42.0,0.0,0.0,0.0,0.0
2020-03-30,3.0,879.0,0.0,35.0,0.0,0.0,0.0,0.0
2020-03-31,3.0,926.0,0.0,47.0,0.0,0.0,0.0,0.0
2020-04-01,3.0,1000.0,0.0,74.0,0.0,0.0,0.0,0.0
2020-04-02,4.0,1049.0,1.0,49.0,0.0,0.0,0.0,0.0
2020-04-03,5.0,1114.0,1.0,65.0,0.0,0.0,0.0,0.0
2020-04-04,6.0,1189.0,1.0,75.0,0.0,0.0,0.0,0.0
2020-04-05,6.0,1309.0,0.0,120.0,0.0,0.0,0.0,0.0
2020-04-06,6.0,1375.0,0.0,66.0,0.0,0.0,0.0,0.0
2020-04-07,6.0,1481.0,0.0,106.0,0.0,0.0,0.0,0.0
2020-04-08,6.0,1623.0,0.0,142.0,0.0,0.0,0.0,0.0
2020-04-09,6.0,1910.0,0.0,287.0,0.0,0.0,0.0,0.0
2020-04-10,7.0,2108.0,1.0,198.0,0.0,0.0,0.0,0.0
2020-04-11,8.0,2299.0,1.0,191.0,0.0,0.0,0.0,0.0
2020-04-12,8.0,2532.0,0.0,233.0,0.0,0.0,0.0,0.0
2020-04-13,9.0,2918.0,1.0,386.0,0.0,0.0,0.0,0.0
2020-04-14,10.0,3252.0,1.0,334.0,0.0,0.0,0.0,0.0
2020-04-15,10.0,3699.0,0.0,447.0,0.0,0.0,0.0,0.0
2020-04-16,10.0,4427.0,0.0,728.0,0.0,0.0,0.0,0.0
2020-04-17,11.0,5050.0,1.0,623.0,0.0,0.0,0.0,0.0
2020-04-18,11.0,5992.0,0.0,942.0,0.0,0.0,0.0,0.0
2020-04-19,11.0,6588.0,0.0,596.0,0.0,0.0,0.0,0.0
2020-04-20,11.0,8014.0,0.0,1426.0,0.0,0.0,0.0,0.0
2020-04-21,11.0,9125.0,0.0,1111.0,0.0,0.0,0.0,0.0
2020-04-22,12.0,10141.0,1.0,1016.0,0.0,0.0,0.0,0.0
2020-04-23,12.0,11178.0,0.0,1037.0,0.0,0.0,0.0,0.0
2020-04-24,12.0,12075.0,0.0,897.0,0.0,0.0,0.0,0.0
2020-04-25,12.0,12693.0,0.0,618.0,0.0,0.0,0.0,0.0
2020-04-26,12.0,13624.0,0.0,931.0,0.0,0.0,0.0,0.0
2020-04-27,14.0,14423.0,2.0,799.0,0.0,0.0,0.0,0.0
2020-04-28,14.0,14951.0,0.0,528.0,0.0,0.0,0.0,0.0
2020-04-29,14.0,15641.0,0.0,690.0,0.0,0.0,0.0,0.0
2020-04-30,15.0,16169.0,1.0,528.0,0.0,0.0,0.0,0.0
2020-05-01,16.0,17101.0,1.0,932.0,0.0,0.0,0.0,0.0
2020-05-02,17.0,17548.0,1.0,447.0,0.0,0.0,0.0,0.0
2020-05-03,18.0,18205.0,1.0,657.0,0.0,0.0,0.0,0.0
2020-05-04,18.0,18778.0,0.0,573.0,0.0,0.0,0.0,0.0
