Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-02-12,0.0,7.0,,,0.0,0.0,0.0,0.0
2020-02-13,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,24.0,0.0,4.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,27.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,37.0,0.0,4.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,49.0,0.0,12.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,54.0,0.0,5.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,64.0,0.0,10.0,0.0,0.0,0.0,0.0
2020-03-09,1.0,77.0,1.0,13.0,0.0,0.0,0.0,0.0
2020-03-10,1.0,79.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-11,1.0,108.0,0.0,29.0,0.0,0.0,0.0,0.0
2020-03-12,1.0,117.0,0.0,9.0,0.0,0.0,0.0,0.0
2020-03-13,1.0,193.0,0.0,76.0,0.0,0.0,0.0,0.0
2020-03-14,1.0,198.0,0.0,5.0,0.0,0.0,0.0,0.0
2020-03-15,1.0,252.0,0.0,54.0,0.0,0.0,0.0,0.0
2020-03-16,4.0,415.0,3.0,163.0,0.0,0.0,0.0,0.0
2020-03-17,5.0,478.0,1.0,63.0,0.0,0.0,0.0,0.0
2020-03-18,8.0,657.0,3.0,179.0,0.0,0.0,0.0,0.0
2020-03-19,9.0,800.0,1.0,143.0,0.0,0.0,0.0,0.0
2020-03-20,12.0,943.0,3.0,143.0,0.0,0.0,0.0,0.0
