Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-01-24,0.0,2.0,,,0.0,0.0,0.0,0.0
2020-01-25,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-26,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-02-16,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,1.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-26,2.0,18.0,1.0,4.0,0.0,0.0,0.0,0.0
