Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-02-26,0.0,1.0,,,0.0,0.0,0.0,0.0
2020-02-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,20.0,0.0,7.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,31.0,0.0,6.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,38.0,0.0,7.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,52.0,0.0,14.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,151.0,0.0,99.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,162.0,0.0,11.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,200.0,0.0,38.0,0.0,0.0,0.0,0.0
2020-03-17,1.0,321.0,1.0,121.0,0.0,0.0,0.0,0.0
2020-03-18,3.0,372.0,2.0,51.0,0.0,0.0,0.0,0.0
2020-03-19,6.0,621.0,3.0,249.0,0.0,0.0,0.0,0.0
2020-03-20,11.0,793.0,5.0,172.0,0.0,0.0,0.0,0.0
2020-03-21,15.0,1021.0,4.0,228.0,0.0,0.0,0.0,0.0
2020-03-22,25.0,1546.0,10.0,525.0,0.0,0.0,0.0,0.0
2020-03-23,34.0,1924.0,9.0,378.0,0.0,0.0,0.0,0.0
2020-03-24,46.0,2247.0,12.0,323.0,0.0,0.0,0.0,0.0
2020-03-25,59.0,2554.0,13.0,307.0,0.0,0.0,0.0,0.0
2020-03-26,77.0,2985.0,18.0,431.0,0.0,0.0,0.0,0.0
2020-03-27,92.0,3417.0,15.0,432.0,0.0,0.0,0.0,0.0
2020-03-28,111.0,3904.0,19.0,487.0,0.0,0.0,0.0,0.0
2020-03-29,136.0,4256.0,25.0,352.0,0.0,0.0,0.0,0.0
2020-03-30,159.0,4579.0,23.0,323.0,0.0,0.0,0.0,0.0
2020-03-31,201.0,5717.0,42.0,1138.0,0.0,0.0,0.0,0.0
2020-04-01,240.0,6836.0,39.0,1119.0,0.0,0.0,0.0,0.0
2020-04-02,324.0,8044.0,84.0,1208.0,0.0,0.0,0.0,0.0
2020-04-03,359.0,9056.0,35.0,1012.0,0.0,0.0,0.0,0.0
2020-04-04,445.0,10360.0,86.0,1304.0,0.0,0.0,0.0,0.0
2020-04-05,486.0,11130.0,41.0,770.0,0.0,0.0,0.0,0.0
2020-04-06,564.0,12161.0,78.0,1031.0,0.0,0.0,0.0,0.0
2020-04-07,686.0,14034.0,122.0,1873.0,0.0,0.0,0.0,0.0
2020-04-08,819.0,16170.0,133.0,2136.0,0.0,0.0,0.0,0.0
2020-04-09,950.0,18092.0,131.0,1922.0,0.0,0.0,0.0,0.0
2020-04-10,1057.0,19638.0,107.0,1546.0,0.0,0.0,0.0,0.0
2020-04-11,1124.0,20727.0,67.0,1089.0,0.0,0.0,0.0,0.0
2020-04-12,1223.0,22192.0,99.0,1465.0,0.0,0.0,0.0,0.0
2020-04-13,1328.0,23430.0,105.0,1238.0,0.0,0.0,0.0,0.0
2020-04-14,1532.0,25262.0,204.0,1832.0,0.0,0.0,0.0,0.0
2020-04-15,1736.0,28320.0,204.0,3058.0,0.0,0.0,0.0,0.0
2020-04-16,1924.0,30425.0,188.0,2105.0,0.0,0.0,0.0,0.0
2020-04-17,2141.0,33682.0,217.0,3257.0,0.0,0.0,0.0,0.0
2020-04-18,2354.0,36658.0,213.0,2976.0,0.0,0.0,0.0,0.0
2020-04-19,2462.0,38654.0,108.0,1996.0,0.0,0.0,0.0,0.0
2020-04-20,2587.0,40743.0,125.0,2089.0,0.0,0.0,0.0,0.0
2020-04-21,2741.0,43079.0,154.0,2336.0,0.0,0.0,0.0,0.0
2020-04-22,2906.0,45757.0,165.0,2678.0,0.0,0.0,0.0,0.0
2020-04-23,3331.0,50036.0,425.0,4279.0,0.0,0.0,0.0,0.0
2020-04-24,3704.0,54043.0,373.0,4007.0,0.0,0.0,0.0,0.0
2020-04-25,4057.0,59324.0,353.0,5281.0,0.0,0.0,0.0,0.0
2020-04-26,4286.0,63100.0,229.0,3776.0,0.0,0.0,0.0,0.0
2020-04-27,4603.0,67446.0,317.0,4346.0,0.0,0.0,0.0,0.0
2020-04-28,5083.0,73235.0,480.0,5789.0,0.0,0.0,0.0,0.0
2020-04-29,5513.0,79685.0,430.0,6450.0,0.0,0.0,0.0,0.0
2020-04-30,6006.0,87187.0,493.0,7502.0,0.0,0.0,0.0,0.0
2020-05-01,6412.0,92202.0,406.0,5015.0,0.0,0.0,0.0,0.0
2020-05-02,6761.0,97100.0,349.0,4898.0,0.0,0.0,0.0,0.0
2020-05-03,7051.0,101826.0,290.0,4726.0,0.0,0.0,0.0,0.0
2020-05-04,7367.0,108620.0,316.0,6794.0,0.0,0.0,0.0,0.0
2020-05-05,7938.0,115455.0,571.0,6835.0,0.0,0.0,0.0,0.0
2020-05-06,8588.0,126611.0,650.0,11156.0,0.0,0.0,0.0,0.0
2020-05-07,9190.0,135773.0,602.0,9162.0,0.0,0.0,0.0,0.0
2020-05-08,10017.0,146894.0,827.0,11121.0,0.0,0.0,0.0,0.0
2020-05-09,10656.0,156061.0,639.0,9167.0,0.0,0.0,0.0,0.0
2020-05-10,11123.0,162699.0,467.0,6638.0,0.0,0.0,0.0,0.0
2020-05-11,11653.0,169594.0,530.0,6895.0,0.0,0.0,0.0,0.0
2020-05-12,12461.0,178214.0,808.0,8620.0,0.0,0.0,0.0,0.0
2020-05-13,13240.0,190137.0,779.0,11923.0,0.0,0.0,0.0,0.0
2020-05-14,13999.0,203165.0,759.0,13028.0,0.0,0.0,0.0,0.0
2020-05-15,14962.0,220291.0,963.0,17126.0,0.0,0.0,0.0,0.0
2020-05-16,13470.171717171717,183885.36363636365,,,38.0793402922772,37.88846885041315,53.58238650580483,53.58238650580483
2020-05-17,14078.666666666666,191802.08080808082,608.4949494949487,7916.717171717173,38.407654994026544,38.21513782510706,54.044366200223465,54.044366200223465
2020-05-18,14697.777777777777,199832.94949494948,619.1111111111113,8030.868686868664,38.732149895289304,38.53800613468829,54.500970942493716,54.500970942493716
2020-05-19,15326.68686868687,207969.74747474748,628.9090909090919,8136.797979797993,39.053307854275474,38.85755421722944,54.952880174653735,54.952880174653735
2020-05-20,15964.818181818182,216203.80808080808,638.1313131313127,8234.060606060608,39.37133272258689,39.17398490353647,55.400380742780165,55.400380742780165
2020-05-21,16611.323232323233,224526.43434343435,646.5050505050513,8322.626262626261,39.68658282155076,39.48765471960212,55.84397685076728,55.84397685076728
2020-05-22,17265.555555555555,232929.0,654.2323232323215,8402.565656565654,39.99935175113799,39.79885579428023,56.28408163120214,56.28408163120214
2020-05-23,17926.949494949495,241402.69696969696,661.39393939394,8473.69696969696,40.30991061134255,40.10785786994541,56.72107655740928,56.72107655740928
2020-05-24,18594.76767676768,249938.58585858587,667.8181818181838,8535.888888888905,40.618632039427055,40.41503171669298,57.15548597748601,57.15548597748601
2020-05-25,19268.444444444445,258528.38383838383,673.6767676767668,8589.797979797964,40.925702577842756,40.720562942346525,57.58757238053372,57.58757238053372
2020-05-26,19947.030303030304,267163.0,678.5858585858587,8634.61616161617,41.2313837845918,41.024711795259506,58.017703813303484,58.017703813303484
2020-05-27,20629.848484848484,275833.6565656566,682.8181818181802,8670.656565656594,41.535881382754944,41.327682967849015,58.44616975458764,58.44616975458764
2020-05-28,21316.353535353537,284531.58585858584,686.5050505050531,8697.929292929242,41.83936757279502,41.62964779844302,58.873212513373375,58.873212513373375
2020-05-29,22005.80808080808,293247.9797979798,689.4545454545441,8716.39393939398,42.14204807019025,41.930810971918184,59.29912155778928,59.29912155778928
2020-05-30,22697.49494949495,301974.43434343435,691.6868686868693,8726.45454545453,42.4440961359291,42.231344881377446,59.724140688499574,59.724140688499574
2020-05-31,23390.717171717173,310703.0606060606,693.2222222222226,8728.626262626261,42.74554549484893,42.53128308322161,60.14831736142139,60.14831736142139
2020-06-01,24084.777777777777,319426.0303030303,694.0606060606042,8722.969696969667,43.046365046754964,42.83059463401271,60.57160781592509,60.57160781592509
2020-06-02,24779.20202020202,328135.48484848486,694.4242424242439,8709.454545454588,43.346639481012076,43.129363799644956,60.99413122198111,60.99413122198111
2020-06-03,25473.18181818182,336823.51515151514,693.9797979797986,8688.030303030275,43.646398102942186,43.42761973934656,61.41592881696545,61.41592881696545
2020-06-04,26166.060606060608,345482.7878787879,692.878787878788,8659.272727272764,43.94567629607642,43.725397659746584,61.83705039057041,61.83705039057041
2020-06-05,26857.21212121212,354105.9090909091,691.1515151515123,8623.121212121216,44.24452619680491,44.0227494362331,62.25756930567338,62.25756930567338
2020-06-06,27546.171717171717,362686.0,688.9595959595972,8580.090909090883,44.54288445322199,44.319612034579166,62.677396418415704,62.677396418415704
2020-06-07,28232.333333333332,371216.3434343434,686.1616161616148,8530.343434343406,44.84065860525025,44.615893458512765,63.09640162642181,63.09640162642181
2020-06-08,28915.252525252527,379690.62626262626,682.9191919191944,8474.282828282856,45.13774739414779,44.91149295772724,63.51444244724161,63.51444244724161
2020-06-09,29594.272727272728,388102.83838383836,679.0202020202014,8412.212121212098,45.43401591310078,45.20627630208104,63.931329050788456,63.931329050788456
2020-06-10,30268.81818181818,396446.9898989899,674.5454545454522,8344.151515151549,45.72945439663332,45.500233775410905,64.34704769633248,64.34704769633248
2020-06-11,30938.383838383837,404717.3939393939,669.5656565656573,8270.404040404013,46.02402706151958,45.793329774084654,64.76154803273418,64.76154803273418
2020-06-12,31602.575757575756,412908.5252525252,664.1919191919187,8191.131313131307,46.31764518209609,46.08547601746269,65.17470521231576,65.17470521231576
2020-06-13,32260.909090909092,421015.3939393939,658.3333333333358,8106.868686868693,46.61019287644622,46.37655720464578,65.58635617498173,65.58635617498173
2020-06-14,32913.14141414141,429033.48484848486,652.2323232323215,8018.090909090941,46.901484093582766,46.66638821746776,65.99623912411091,65.99623912411091
2020-06-15,33558.656565656565,436958.4747474748,645.515151515152,7924.989898989908,47.19136525599178,46.95481624839532,66.40413795721723,66.40413795721723
2020-06-16,34197.20202020202,444786.0101010101,638.5454545454559,7827.535353535321,47.47974934049801,47.24175471061576,66.80993022205585,66.80993022205585
2020-06-17,34828.32323232323,452512.1515151515,631.1212121212084,7726.141414141399,47.76655300919818,47.527120683983675,67.21349865183257,67.21349865183257
2020-06-18,35451.707070707074,460133.45454545453,623.3838383838447,7621.303030303039,48.0516499471546,47.81078848668155,67.61466550561649,67.61466550561649
2020-06-19,36067.121212121216,467646.56565656565,615.4141414141413,7513.111111111124,48.33492507680188,48.0926436181256,68.0132688551291,68.0132688551291
2020-06-20,36674.31313131313,475048.45454545453,607.1919191919151,7401.888888888876,48.61625443367097,48.372562735248295,68.40913426693152,68.40913426693152
